offenderID;x1;x2;x3;x4;x5;x6;x7;x8;x9;x10;x11;x12;x13;x14;x15;x16;x17;x18;x19;x20;x21;x22
2202;7.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;6.0;0.0;0.0;7.0;23.0;63043.1
12484;4.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0;0.0;0.0;4.0;19.0;32945.8
12099;3.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;3.0;23.0;10448.7
6266;5.0;1.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;2.0;0.0;0.0;1.0;1.0;0.0;2.0;0.0;1.0;5.0;18.0;4438.1
14945;15.0;1.0;0.0;0.0;0.0;0.0;0.0;7.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;6.0;0.0;0.0;15.0;25.0;6264.0
16403;5.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0;0.0;0.0;5.0;32.0;
7769;23.0;0.0;0.0;0.0;0.0;0.0;0.0;7.0;6.0;1.0;6.0;2.0;0.0;4.0;2.0;4.0;11.0;1.0;1.0;23.0;18.0;35485.1
10214;3.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;2.0;0.0;0.0;3.0;23.0;14453.0
13027;10.0;3.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;6.0;0.0;0.0;10.0;39.0;22934.7
16358;121.0;2.0;0.0;0.0;4.0;0.0;1.0;55.0;33.0;1.0;0.0;6.0;3.0;14.0;5.0;0.0;28.0;0.0;2.0;121.0;20.0;24789.7
15042;21.0;2.0;0.0;2.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;18.0;0.0;0.0;21.0;60.0;19013.5
1982;32.0;2.0;0.0;11.0;0.0;0.0;0.0;8.0;0.0;1.0;0.0;0.0;2.0;5.0;0.0;0.0;10.0;0.0;0.0;32.0;18.0;19568.1
13412;3.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;3.0;20.0;23779.6
8658;5.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;5.0;20.0;5282.0
16170;30.0;6.0;0.0;0.0;7.0;0.0;0.0;3.0;3.0;0.0;4.0;1.0;0.0;3.0;0.0;3.0;9.0;0.0;1.0;30.0;14.0;6819.6
6775;91.0;51.0;1.0;2.0;1.0;0.0;2.0;24.0;0.0;2.0;6.0;4.0;3.0;13.0;1.0;0.0;19.0;1.0;3.0;91.0;20.0;15322.7
